,Country Name,Country Code,expected years of school(scaled),Fraction of Children Under 5 Not Stunted,Harmonized Test Scores(scaled),Human Capital Index (0-1),Human Capital Index Lower Bound (0-1),Human Capital Index Upper Bound (0-1),Learning Adjusted Years of School(scaled),Probability of Survival to Age 5,Survival Rate from Age 15-60,Continent,Weighted HCI
0,Afghanistan,AFG,0.638749939182536,0.618072211742401,0.6166799235967942,0.400284141302109,0.38714861869812,0.412617266178131,0.3943435656684408,0.937723577022552,0.78774082660675,Asia,29.79819958334366
1,Albania,ALB,0.9248699874861439,0.886766493320465,0.7546473258718942,0.634250938892365,0.624725520610809,0.643478035926819,0.6987290881879828,0.991176664829254,0.929365992546082,Europe,38.41382918439872
2,Algeria,DZA,0.8501487778238616,0.883103966712952,0.6502819179823068,0.534556448459625,0.527311027050018,0.541510224342346,0.5534529330348643,0.976517915725708,0.909282267093658,Africa,35.943035463927785
3,American Samoa,ASM,0.8095741807712761,0.7615223101207187,0.6902217980732107,0.5288617206471306,0.5107854753732681,0.5438641075577056,0.5668054113709521,0.97491620693888,0.845530092716217,Oceania,34.46447874316189
4,Andorra,AND,0.9476337577107554,0.9229360222816468,0.8545520782682645,0.7107685498702221,0.701848280735505,0.7195550722953601,0.8129855015971089,0.9952628872333428,0.9104034503300984,Europe,40.0822147874709
5,Angola,AGO,0.5826505411026497,0.624288558959961,0.5666283016731959,0.362405389547348,0.32986369729042,0.385374516248703,0.3305144767957145,0.922835469245911,0.729358732700348,Africa,28.0907804370709
6,Antigua and Barbuda,ATG,0.9304796330436689,0.8357511427667405,0.7074867650851829,0.595703899860382,0.584080040454865,0.607414603233337,0.659036204121137,0.993558526039124,0.89720755815506,North America,37.19282389893984
7,Argentina,ARG,0.9241626230608464,0.921000003814697,0.7095296267190107,0.602144718170166,0.59166693687439,0.611715614795685,0.6564520455490688,0.990055024623871,0.888269186019897,South America,37.68087171041403
8,Armenia,ARM,0.80938044470278,0.906010508537292,0.7700171952834398,0.578998804092407,0.569216191768646,0.588532090187073,0.6239319505901727,0.987619340419769,0.885818600654602,Asia,36.88120369577767
9,Aruba,ABW,0.8603260009155482,0.8357511427667405,0.7196973551267092,0.5660236226884943,0.552885883732846,0.577624677043212,0.6230111874072308,0.981437733298854,0.8627816626900121,North America,36.09921298869734
10,Australia,AUS,0.9759635693292724,0.7615223101207187,0.8964198225215873,0.770239531993866,0.761949002742767,0.777968049049377,0.8758488201738229,0.996311366558075,0.94614177942276,Oceania,40.269721565714256
11,Austria,AUT,0.9634894710683737,0.9229360222816468,0.8824334164185832,0.746739745140076,0.737196564674377,0.756520211696625,0.851163556099906,0.996477246284485,0.937184393405914,Europe,40.93615766235987
12,Azerbaijan,AZE,0.8928965953921378,0.822275400161743,0.7230424649338553,0.577767550945282,0.561639130115509,0.591151416301727,0.6463221737179753,0.978476583957672,0.88195812702179,Asia,36.524231981778954
13,"Bahamas, The",BHS,0.8603260009155482,0.8357511427667405,0.7196973551267092,0.5660236226884943,0.552885883732846,0.577624677043212,0.6230111874072308,0.981437733298854,0.8627816626900121,North America,36.09921298869734
14,Bahrain,BHR,0.9220206849863375,0.7743813601033441,0.7852039928027443,0.652472019195557,0.644541084766388,0.659845471382141,0.724781753220596,0.992905378341675,0.934414565563202,Asia,38.03670094059876
15,Bangladesh,BGD,0.7292790364132244,0.692000031471252,0.6402452707135148,0.46403643488884,0.455268979072571,0.47212889790535,0.4674381878498689,0.969842970371246,0.868512272834778,Asia,32.64010893014538
16,Barbados,BRB,0.8603260009155482,0.8357511427667405,0.7196973551267092,0.5660236226884943,0.552885883732846,0.577624677043212,0.6230111874072308,0.981437733298854,0.8627816626900121,North America,36.09921298869734
17,Belarus,BLR,0.9907689524156668,0.9229360222816468,0.8485428888479346,0.700078189373016,0.690270841121674,0.709663927555084,0.8416474963582105,0.996579349040985,0.853127121925354,Europe,39.85546775764231
18,Belgium,BEL,0.9704408303036403,0.9229360222816468,0.8983710686358855,0.76041966676712,0.751977562904358,0.768837928771973,0.8727882445792985,0.996348440647125,0.931235253810883,Europe,41.17213848178908
19,Belize,BLZ,0.8603260009155482,0.8357511427667405,0.7196973551267092,0.5660236226884943,0.552885883732846,0.577624677043212,0.6230111874072308,0.981437733298854,0.8627816626900121,North America,36.09921298869734
20,Benin,BEN,0.6619011549741235,0.7037758330504099,0.6673760370935162,0.400290727615356,0.378561913967133,0.421737551689148,0.4422296539936707,0.907013535499573,0.768260359764099,Africa,30.553539657408397
21,Bermuda,BMU,0.8603260009155482,0.8357511427667405,0.7196973551267092,0.5660236226884943,0.552885883732846,0.577624677043212,0.6230111874072308,0.981437733298854,0.8627816626900121,North America,36.09921298869734
22,Bhutan,BTN,0.7336579623045996,0.787999987602234,0.6722720829210109,0.475297033786774,0.45032000541687,0.499215334653854,0.49376783865799945,0.970300734043121,0.806836605072021,Asia,33.10300249361853
23,Bolivia,BOL,0.8954063465445182,0.8773048917452494,0.7141439060483936,0.5812434918350644,0.5694872803158231,0.591660757859548,0.6411174899669505,0.9853207402759128,0.8713662226994833,South America,36.84665058659791
24,Bosnia and Herzegovina,BIH,0.8408040674446695,0.911134362220764,0.7233690342090329,0.57968407869339,0.570883631706238,0.588268458843231,0.6088899446162415,0.994194805622101,0.91362988948822,Europe,37.12026923159285
25,Botswana,BWA,0.5825355781313334,0.7037758330504099,0.6802315989406764,0.414028495550156,0.388916105031967,0.430983871221542,0.3967010521514754,0.963533997535706,0.798840999603271,Africa,30.750192033254383
26,Brazil,BRA,0.8543831788370135,0.8773048917452494,0.7183465197083715,0.551497936248779,0.546363532543182,0.556369066238403,0.614427650556263,0.985649168491364,0.861382365226746,South America,36.257837817332494
