,Year,Country Name,Country Code,"Compulsory education, duration (years)","Current education expenditure, secondary (% of total expenditure in secondary public institutions)","Government expenditure on education, total (% of GDP)","Government expenditure on education, total (% of government expenditure)",Weighted World Education
0,2016,Afghanistan,AFG,0.5294117647058824,0.6838771410169533,0.25990293915944007,0.2789240283637595,4.621498292183855
1,2017,Afghanistan,AFG,0.5294117647058824,0.7029477384336295,0.24964071341122282,0.2563859745972019,4.609642069054451
2,2018,Afghanistan,AFG,0.5294117647058824,0.7220183358503055,0.23679941585360947,0.24920268279288046,4.6386919881929645
3,2019,Afghanistan,AFG,0.5294117647058824,0.7410889332669817,0.23783473572083266,0.24169659527122725,4.694526755029156
4,2020,Afghanistan,AFG,0.5294117647058824,0.7601595306836578,0.2304786679079635,0.21847438364224292,4.686430374183169
5,2016,Africa Eastern and Southern,AFE,0.4117647058823529,0.0,0.3612230981453872,0.3664473053771041,2.2335528183044397
6,2017,Africa Eastern and Southern,AFE,0.4117647058823529,0.0,0.3717350936205959,0.3573790133773085,2.22737193325547
7,2018,Africa Eastern and Southern,AFE,0.4117647058823529,0.0,0.3664441252981588,0.36247618248772073,2.2320815039418327
8,2019,Africa Eastern and Southern,AFE,0.4117647058823529,0.0,0.349250242659159,0.3264652377500392,2.0896609044507883
9,2020,Africa Eastern and Southern,AFE,0.4117647058823529,0.0,0.34525929083041623,0.3131378818743509,2.041696933166238
10,2016,Africa Western and Central,AFW,0.5294117647058824,0.0,0.20976995036576476,0.2737325868921132,1.7701494261137514
11,2017,Africa Western and Central,AFW,0.5294117647058824,0.0,0.2539248306043932,0.3453918239335701,2.073436897715379
12,2018,Africa Western and Central,AFW,0.5294117647058824,0.0,0.22692312809093568,0.34814836850193437,2.0277031263935568
13,2019,Africa Western and Central,AFW,0.5294117647058824,0.0,0.2244450775143655,0.3016877505954227,1.8833651715208815
14,2020,Africa Western and Central,AFW,0.5294117647058824,0.0,0.22933678656389905,0.3065993213121502,1.907883301770131
15,2016,Albania,ALB,0.5294117647058824,0.686277686997131,0.29321317990880275,0.2897042999413093,4.730061772335939
16,2017,Albania,ALB,0.5294117647058824,0.6762866746412806,0.26728416744353556,0.2640052011440373,4.561142401590187
17,2018,Albania,ALB,0.5294117647058824,0.6714715394869412,0.29240751550686045,0.287410430589087,4.662344245434629
18,2019,Albania,ALB,0.5294117647058824,0.6221197349125088,0.2920046833058893,0.2862634959129759,4.460690558706625
19,2020,Albania,ALB,0.5294117647058824,0.6007337508843015,0.29160185110491815,0.28511656123686474,4.370900154163519
20,2016,Algeria,DZA,0.5882352941176471,0.7865944030310258,0.5435169581928948,0.34327067040643144,5.851458833846833
21,2017,Algeria,DZA,0.5882352941176471,0.7865912223076025,0.4814285374510968,0.374058830830092,5.819633750740526
22,2018,Algeria,DZA,0.5882352941176471,0.7865880415841794,0.43413733213325306,0.29349665179197365,5.483352080096791
