,Year,Country Name,Country Code,GDP (current $),"Compulsory education, duration (years)","Current education expenditure, primary (% of total expenditure in primary public institutions)","Current education expenditure, secondary (% of total expenditure in secondary public institutions)","Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)","Current education expenditure, total (% of total expenditure in public institutions)","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, total (%)","Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",Expenditure on primary education (% of government expenditure on education),Expenditure on secondary education (% of government expenditure on education),Expenditure on tertiary education (% of government expenditure on education),"Government expenditure on education, total (% of GDP)","Government expenditure on education, total (% of government expenditure)",Age
0,2016,Afghanistan,AFG,18116562464.9088,9.0,86.3456726074219,86.939697265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.30205,21.83389,0.0,3.5119800567627,13.0909996032715,0
1,2017,Afghanistan,AFG,18753469630.2586,9.0,88.640998840332,89.3640975952148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.1906,22.25369,0.0,3.37331008911133,12.0332002639771,1
2,2018,Afghanistan,AFG,18053228578.8878,9.0,90.9363250732421,91.7884979248046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.079150000000006,22.673489999999997,0.0,3.19979000091553,11.6960601806641,2
3,2019,Afghanistan,AFG,18799450742.7823,9.0,93.2316513061522,94.2128982543944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.96770000000001,23.093289999999996,0.0,3.21377992630005,11.3437700271606,3
4,2020,Afghanistan,AFG,20116137325.8206,9.0,95.5269775390623,96.6372985839842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.85625000000001,23.513089999999995,0.0,3.1143798828125,10.2538604736328,4
5,2016,Africa Eastern and Southern,AFE,873354876607.317,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.88108491897583,17.1988105773926,0
6,2017,Africa Eastern and Southern,AFE,985355704660.083,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.02312994003296,16.7732000350952,1
7,2018,Africa Eastern and Southern,AFE,1012853224905.79,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.95163488388062,17.01243019104,2
8,2019,Africa Eastern and Southern,AFE,1009909855421.84,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.71929979324341,15.3222951889038,3
9,2020,Africa Eastern and Southern,AFE,920792331527.746,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.66537141799927,14.696790059407533,4
10,2016,Africa Western and Central,AFW,690543020916.229,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83455002307891,12.8473448753357,0
11,2017,Africa Western and Central,AFW,683741574626.192,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.43119990825654,16.2105941772461,1
12,2018,Africa Western and Central,AFW,741691624372.788,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06633508205414,16.3399696350098,2
13,2019,Africa Western and Central,AFW,794572474605.872,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03285002708435,14.1593904495239,3
