,Year,Country Name,Country Code,Life Expectancy at birth (total years),Lifetime risk of maternal death (%),"Mortality cauased by road traffic injury (per 100,000 population)","Mortality from CVD, cancer, diabetes or CRD between ages 30 and 70 (%)","Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population)","Mortality rate attributed to unintentional poisoning (per 100,000 population)","Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)","Mortality rate, infant (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)","Mortality rate, under-5 (per 1,000 live births)","Suicide mortality rate (per 100,000 population)",Weighted World Death
0,2016,Afghanistan,AFG,0.7469735701700081,0.473222823209745,0.20067796610169492,0.6912621359223301,0.6513421783400184,0.16666666666666666,0.13762376237623763,0.5719063545150501,0.8694690265486724,0.5180353031465847,0.04597701149425287,-16.33143740827988
1,2017,Afghanistan,AFG,0.7512729177579884,0.4352445929648312,0.2047457627118644,0.6893203883495146,0.6513421783400184,0.18333333333333335,0.13762376237623763,0.5518394648829431,0.8451327433628318,0.4973138910207213,0.047126436781609195,-16.285067517351457
2,2018,Afghanistan,AFG,0.7554434020667652,0.3972663627199174,0.19254237288135592,0.687378640776699,0.6513421783400184,0.15,0.13762376237623763,0.5340022296544036,0.8230088495575222,0.47812739831158857,0.047126436781609195,-15.703695607497307
3,2019,Afghanistan,AFG,0.7595084527834659,0.3592881324750036,0.21559322033898307,0.6854368932038835,0.6513421783400184,0.16666666666666666,0.13762376237623763,0.5172798216276476,0.7986725663716814,0.46124328472755177,0.047126436781609195,-15.879773506878953
4,2020,Afghanistan,AFG,0.7636867469879518,0.32130990223008976,0.2205649717514124,0.6834951456310681,0.6513421783400184,0.16666666666666666,0.13762376237623763,0.5016722408026756,0.7787610619469026,0.44512663085188026,0.0475095785440613,-15.756739422645646
5,2016,Africa Eastern and Southern,AFE,0.7355478663425365,0.2777963542151565,0.3925703159786197,0.45083485771383297,0.42425875325528234,0.4401578092336316,0.3902914970559178,0.5298466411780367,0.58019702940446,0.510482945149627,0.09568573952096679,-18.224229550284257
6,2017,Africa Eastern and Southern,AFE,0.7409200833076778,0.2665706890288737,0.39219140466278374,0.44431913614121943,0.42425875325528234,0.42584442089018165,0.3902914970559178,0.5140260881005819,0.5683913329567412,0.49304676686432375,0.0947593298435739,-17.939517284007344
7,2018,Africa Eastern and Southern,AFE,0.7456379378915731,0.2553450238425909,0.39263645288525834,0.4372478300890621,0.42425875325528234,0.41551025862345337,0.3902914970559178,0.49938930586361985,0.5560100963576992,0.47638477606187796,0.09343545189445701,-17.7000697473148
8,2019,Africa Eastern and Southern,AFE,0.7498108756804055,0.24411935865630807,0.39837979140953356,0.43193485165923884,0.42425875325528234,0.4023011434669033,0.3902914970559178,0.4859671311495786,0.5442021107029181,0.4608914073741819,0.0923711883687277,-17.506428971955557
9,2020,Africa Eastern and Southern,AFE,0.7570367342031011,0.23289369347002525,0.3910546707152759,0.42477197142337864,0.42425875325528234,0.3829042558598316,0.3902914970559178,0.4732129074401583,0.5326854154970089,0.44634420247250955,0.09198010081139524,-17.120234839827148
10,2016,Africa Western and Central,AFW,0.6674504139779736,0.546039686853561,0.3318202777780231,0.40328216737901945,0.8034658807650169,0.5201963483980366,0.580516753977193,0.7433091476637257,0.7337990306205996,0.8030521411469072,0.06520345927728598,-24.026539368593404
11,2017,Africa Western and Central,AFW,0.6722254023927687,0.5299317855595268,0.33156240841521223,0.3969107737845049,0.8034658807650169,0.5057845054823333,0.580516753977193,0.7281364740227145,0.7240220571975022,0.7830551529871297,0.06388671884933562,-23.744220418913436
12,2018,Africa Western and Central,AFW,0.6766768564954031,0.5138238842654925,0.33225401416079053,0.3923595892579437,0.8034658807650169,0.49803029516367503,0.580516753977193,0.7121045546844627,0.712826143414907,0.7620194914532348,0.06241173625358172,-23.525376034286424
13,2019,Africa Western and Central,AFW,0.6808166003090895,0.49771598297145836,0.3331359609945098,0.38785078993567573,0.8034658807650169,0.4761488868319767,0.580516753977193,0.6951207669294404,0.7021882302648672,0.7405547907708648,0.06217814830214092,-23.18282266941833
14,2020,Africa Western and Central,AFW,0.6851121992672499,0.48160808167742414,0.33392273728415867,0.3833207980112613,0.8034658807650169,0.4613310775067984,0.580516753977193,0.6775656955597926,0.6914171028294425,0.7185496792632571,0.06132386302854356,-22.897446995519534
15,2016,Albania,ALB,0.9160304776417926,0.0038624644607575327,0.18711864406779663,0.24466019417475726,0.20981178648565257,0.049999999999999996,0.0019801980198019802,0.09364548494983278,0.13938053097345132,0.07214121258633921,0.054022988505747126,-4.258979555576141
16,2017,Albania,ALB,0.9176588408971856,0.003734404354536952,0.15457627118644068,0.23689320388349513,0.20981178648565257,0.049999999999999996,0.0019801980198019802,0.09364548494983278,0.14823008849557523,0.07214121258633921,0.054022988505747126,-3.9196411846172503
17,2018,Albania,ALB,0.919123196342683,0.0036063442483163705,0.14915254237288136,0.22912621359223304,0.20981178648565257,0.049999999999999996,0.0019801980198019802,0.0947603121516165,0.1570796460176991,0.07290867229470452,0.05172413793103448,-3.8776424105556635
18,2019,Albania,ALB,0.9204704033525405,0.003478284142095789,0.15864406779661017,0.22135922330097088,0.20981178648565257,0.049999999999999996,0.0019801980198019802,0.09587513935340021,0.165929203539823,0.07444359171143514,0.04942528735632184,-3.9879831661360576
19,2020,Albania,ALB,0.9222159150435735,0.003350224035875207,0.1111864406779661,0.21359223300970878,0.20981178648565257,0.049999999999999996,0.0019801980198019802,0.09810479375696768,0.17256637168141592,0.07521105141980046,0.04942528735632184,-3.5002670838676493
20,2016,Algeria,DZA,0.8938191342444879,0.05276653782032958,0.2861016949152543,0.2757281553398058,0.15334773218142547,0.11666666666666665,0.01881188118811881,0.23745819397993312,0.33407079646017696,0.19033000767459707,0.029885057471264367,-7.300424777143206
21,2017,Algeria,DZA,0.8961738178008476,0.05238352669958926,0.2847457627118644,0.27378640776699026,0.15334773218142547,0.11666666666666665,0.01881188118811881,0.23299888517279818,0.34513274336283184,0.18649270913277052,0.028735632183908046,-7.294064890201468
22,2018,Algeria,DZA,0.8984464974522596,0.05200051557884893,0.2847457627118644,0.26990291262135924,0.15334773218142547,0.11666666666666665,0.01881188118811881,0.22742474916387959,0.35398230088495575,0.18265541059094398,0.028735632183908046,-7.272425941203127
23,2019,Algeria,DZA,0.9006371731987237,0.051617504458108615,0.28338983050847455,0.26990291262135924,0.15334773218142547,0.11666666666666665,0.01881188118811881,0.2229654403567447,0.3606194690265487,0.1788181120491174,0.028735632183908046,-7.252319636065967
24,2020,Algeria,DZA,0.9030738606600314,0.05123449333736829,0.28338983050847455,0.2640776699029126,0.15334773218142547,0.11666666666666665,0.01881188118811881,0.21739130434782608,0.3606194690265487,0.17421335379892552,0.027586206896551724,-7.201534257580029
25,2016,American Samoa,ASM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2017,American Samoa,ASM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2018,American Samoa,ASM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2019,American Samoa,ASM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2020,American Samoa,ASM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2016,Andorra,AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03232998885172798,0.035398230088495575,0.024558710667689946,0.0,-0.26908951063970243
31,2017,Andorra,AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031215161649944256,0.0331858407079646,0.02302379125095932,0.0,-0.2540830104276196
32,2018,Andorra,AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028985507246376812,0.030973451327433624,0.0214888718342287,0.0,-0.23684685581196932
33,2019,Andorra,AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027870680044593088,0.030973451327433624,0.02072141212586339,0.0,-0.23154736257494063
34,2020,Andorra,AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026755852842809364,0.028761061946902654,0.01918649270913277,0.0,-0.21654086236285777
35,2016,Angola,AGO,0.7020120005714557,0.2132762057745626,0.33491525423728813,0.4388349514563107,0.36562789262573275,0.3666666666666667,0.48316831683168315,0.6187290969899666,0.663716814159292,0.6454336147352263,0.07126436781609195,-18.519557991046376
36,2017,Angola,AGO,0.7073305395495023,0.20617918185616493,0.34576271186440677,0.429126213592233,0.36562789262573275,0.35000000000000003,0.48316831683168315,0.5964325529542921,0.6460176991150441,0.6185725249424404,0.06896551724137931,-18.25639186848297
37,2018,Angola,AGO,0.7120516215057859,0.19908215793776732,0.3525423728813559,0.429126213592233,0.36562789262573275,0.3333333333333333,0.48316831683168315,0.5763656633221851,0.6327433628318584,0.5932463545663852,0.06896551724137931,-18.004872593744857
38,2019,Angola,AGO,0.7163275394066384,0.19198513401936965,0.3538983050847458,0.43106796116504853,0.36562789262573275,0.3333333333333333,0.48316831683168315,0.556298773690078,0.6172566371681415,0.5694551036070606,0.07011494252873562,-17.831760948063106
39,2020,Angola,AGO,0.7214937854183533,0.18488811010097198,0.36610169491525424,0.429126213592233,0.36562789262573275,0.3,0.48316831683168315,0.5384615384615384,0.6039823008849557,0.5487336914811972,0.06896551724137931,-17.52421489560185
40,2016,Antigua and Barbuda,ATG,0.8975561693413973,0.011870025618312382,0.0,0.3436893203883495,0.09225547670472076,0.13333333333333333,0.0009900990099009901,0.06911928651059086,0.0907079646017699,0.056792018419032995,0.005747126436781609,-3.033827055136238
41,2017,Antigua and Barbuda,ATG,0.8991376732225344,0.011754676321021408,0.0,0.34563106796116505,0.09225547670472076,0.18333333333333335,0.0009900990099009901,0.06688963210702341,0.08628318584070796,0.05448963929393706,0.0,-3.4667352654595076
