Year,Country Name,Country Code,GDP (current $),"Compulsory education, duration (years)","Current education expenditure, primary (% of total expenditure in primary public institutions)","Current education expenditure, secondary (% of total expenditure in secondary public institutions)","Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)","Current education expenditure, total (% of total expenditure in public institutions)","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, total (%)","Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",Expenditure on primary education (% of government expenditure on education),Expenditure on secondary education (% of government expenditure on education),Expenditure on tertiary education (% of government expenditure on education),"Government expenditure on education, total (% of GDP)","Government expenditure on education, total (% of government expenditure)"
2016,Afghanistan,AFG,18116562464.9088,9,86.3456726074219,86.939697265625,..,..,..,..,..,..,..,..,..,..,43.30205,21.83389,..,3.5119800567627,13.0909996032715
2017,Afghanistan,AFG,18753469630.2586,9,88.640998840332,89.3640975952148,..,..,..,..,..,..,..,..,..,..,44.1906,22.25369,..,3.37331008911133,12.0332002639771
2020,Afghanistan,AFG,20116137325.8206,9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.2538604736328
2018,Afghanistan,AFG,18053228578.8878,9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.19979000091553,11.6960601806641
2019,Afghanistan,AFG,18799450742.7823,9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.21377992630005,11.3437700271606
2020,Africa Eastern and Southern,AFE,920792331527.746,7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2017,Africa Eastern and Southern,AFE,985355704660.083,7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.02312994003296,16.7732000350952
2019,Africa Eastern and Southern,AFE,1009909855421.84,7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.71929979324341,15.3222951889038
2018,Africa Eastern and Southern,AFE,1012853224905.79,7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.95163488388062,17.01243019104
2016,Africa Eastern and Southern,AFE,873354876607.317,7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.88108491897583,17.1988105773926
2017,Africa Western and Central,AFW,683741574626.192,9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.43119990825654,16.2105941772461
2018,Africa Western and Central,AFW,741691624372.788,9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.06633508205414,16.3399696350098
2016,Africa Western and Central,AFW,690543020916.229,9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.83455002307891,12.8473448753357
2020,Africa Western and Central,AFW,784587603322.866,9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.3899097442627
2019,Africa Western and Central,AFW,794572474605.872,9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.03285002708435,14.1593904495239
2018,Albania,ALB,15156432309.8977,9,99.1517715454102,85.3626022338867,89.85302734375,93.8843688964844,..,..,..,..,..,..,..,..,..,..,..,..,..
2019,Albania,ALB,15400242874.8812,9,88.9844512939453,79.088623046875,88.9567718505859,86.8448181152344,..,..,..,..,..,..,..,..,..,..,..,3.94576001167297,13.4354696273804
2020,Albania,ALB,14887629268.2927,9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
