Year,Country Name,Country Code,Current GDP ($),GDP growth (annual %),GDP per capita ($),Gini index,%individuals using internet,Interest payments (% of expense),Interest payments (% of revenue),Land area (sq.km),Life expectancy at birth,Military expenditure (% of GDP)
2016,Afghanistan,AFG,18116562464.9088,2.26031420130452,512.012778129357,..,..,0.108067197970998,0.0915435039044285,652860,63.763,0.956772140958855
2017,Afghanistan,AFG,18753469630.2586,2.64700320195786,516.679862210543,..,..,0.134207231842939,0.109378878694535,652860,64.13,0.945226799939516
2020,Afghanistan,AFG,20116137325.8206,-2.35110067344623,516.747870807558,..,..,..,..,652860,..,1.36968441109766
2018,Afghanistan,AFG,18053228578.8878,1.18922812838034,485.668418729808,..,..,..,..,652860,64.486,1.00674629248273
2019,Afghanistan,AFG,18799450742.7823,3.911603419423,494.179349886029,..,..,..,..,652860,64.833,1.11823060279695
2020,Africa Eastern and Southern,AFE,920792331527.746,-2.9391855811122,1359.61822418526,..,..,..,..,14807043.228,..,1.15145684268783
2017,Africa Eastern and Southern,AFE,985355704660.083,2.54229793216005,1573.06338581001,..,20.3321189737088,8.6279025919039,8.3041323056424,14807044.032,63.2462635340566,1.37663594875087
2019,Africa Eastern and Southern,AFE,1009909855421.84,2.07789785482258,1530.05917655094,..,26.4482838127365,10.6330388480228,10.3209436363995,14807043.228,64.0051974732229,1.11605891175687
2018,Africa Eastern and Southern,AFE,1012853224905.79,2.47527173582702,1574.97864775317,..,23.6573660487722,9.99304975864994,10.3457490104587,14807043.228,63.648988039777,1.16440736264594
2016,Africa Eastern and Southern,AFE,873354876607.317,2.01939062836405,1431.7787234042,..,17.1655870410284,9.80725432848681,9.18024314560516,14807070.342,62.7876814850688,1.42042972524144
2017,Africa Western and Central,AFW,683741574626.192,2.31804152943607,1613.47355303429,..,24.6762465620052,8.10560061332236,6.74907431040171,9045780,57.382362702625,0.883349948851409
2018,Africa Western and Central,AFW,741691624372.788,2.95223031342169,1704.1396025899,..,29.7416789784377,9.06305439484547,8.57362307143437,9045780,57.7623467867763,0.919132615694069
2016,Africa Western and Central,AFW,690543020916.229,0.127594842940539,1673.83552685464,..,21.3694140782799,7.24684229763876,4.88644416697601,9045780,56.9747611509084,0.89785763196476
2020,Africa Western and Central,AFW,784587603322.866,-0.884980919459011,1710.07336335627,..,..,..,..,9045780,..,1.00838580248735
2019,Africa Western and Central,AFW,794572474605.872,3.19033646943127,1777.91867152634,..,32.4181914215029,..,..,9045780,58.1157227231324,0.871359110421522
2018,Albania,ALB,15156432309.8977,4.01935968580831,5287.66369446913,..,65.4,9.58822665629312,8.5813935058396,27400,78.458,1.16126612950916
2019,Albania,ALB,15400242874.8812,2.11341998165848,5395.65953185375,..,68.55039112,8.94812568575212,8.06655647539145,27400,78.573,1.29108711382404
2020,Albania,ALB,14887629268.2927,-3.95539792669307,5246.29230634793,..,72.23767711,..,..,27400,..,1.53546471347491
2017,Albania,ALB,13019689336.6919,3.80222740018748,4531.0193737689,33.2,62.4,8.5837737506021,7.73970302969854,27400,78.333,1.10869638590383
2016,Albania,ALB,11861199830.8396,3.31498068405152,4124.05538986272,33.7,59.6,10.2614056936117,9.71519157209464,27400,78.194,1.10358100880452
2016,Algeria,DZA,160034163871.455,3.19999999999973,3946.45244712537,..,42.94552688,..,..,2381741,76.298,6.38492898301865
2019,Algeria,DZA,171767403748.19,0.999999999999915,3989.66827645236,..,57.5,..,..,2381741,76.88,6.02104599353676
2017,Algeria,DZA,170097014589.134,1.29999999999994,4109.69821695727,..,47.69105515,..,..,2381741,76.499,5.92438332688534
2018,Algeria,DZA,174910878623.049,1.09999999999995,4142.01855842917,..,49.03846808,..,..,2381741,76.693,5.46782435628871
2020,Algeria,DZA,145009181490.62,-5.09999999999982,3306.85820838104,..,..,..,..,2381741,..,6.65999372695062
2018,American Samoa,ASM,639000000,2.6711185308848,11521.6097798453,..,..,..,..,200,..,..
2020,American Samoa,ASM,709000000,3.92156862745099,12844.9009909959,..,..,..,..,200,..,..
2017,American Samoa,ASM,612000000,-6.98757763975155,11003.8297642807,..,..,..,..,200,..,..
2019,American Samoa,ASM,648000000,-0.487804878048777,11715.3601388487,..,..,..,..,200,..,..
2016,American Samoa,ASM,671000000,-1.67938931297709,12038.2496994923,..,..,..,..,200,..,..
2016,Andorra,AND,2896679211.86628,3.70967806978986,37475.6350587526,..,..,..,..,470,..,..
2020,Andorra,AND,..,-11.9526932539653,..,..,..,..,..,470,..,..
