Year,Country_Name,Country_Code,Compulsory_education_duration_years,Government_expenditure_on_education_total,"Government expenditure on education, total (% of government expenditure)",Weighted World Education
2016,Afghanistan,AFG,9,3.511980057,13.0909996,1.885989728
2017,Afghanistan,AFG,9,3.373310089,12.03320026,1.797851115
2018,Afghanistan,AFG,9,3.199790001,11.69606018,1.750618645
2019,Afghanistan,AFG,9,3.213779926,11.34377003,1.730171022
2020,Afghanistan,AFG,9,3.114379883,10.25386047,1.645792251
2016,Africa Eastern and Southern,AFE,7,4.881084919,17.19881058,2.233552818
2017,Africa Eastern and Southern,AFE,7,5.02312994,16.77320004,2.227371933
2018,Africa Eastern and Southern,AFE,7,4.951634884,17.01243019,2.232081504
2019,Africa Eastern and Southern,AFE,7,4.719299793,15.32229519,2.089660904
2020,Africa Eastern and Southern,AFE,7,4.665371418,14.69679006,2.041696933
2016,Africa Western and Central,AFW,9,2.834550023,12.84734488,1.770149426
2017,Africa Western and Central,AFW,9,3.431199908,16.21059418,2.073436898
2018,Africa Western and Central,AFW,9,3.066335082,16.33996964,2.027703126
2019,Africa Western and Central,AFW,9,3.032850027,14.15939045,1.883365172
2020,Africa Western and Central,AFW,9,3.098950028,14.38990974,1.907883302
2016,Albania,ALB,9,3.962090015,13.59696007,1.984951024
2017,Albania,ALB,9,3.611720085,12.39080048,1.855995703
2018,Albania,ALB,9,3.951203346,13.48929977,1.976458087
2019,Albania,ALB,9,3.945760012,13.43546963,1.972211619
2020,Albania,ALB,9,3.940316677,13.38163948,1.967965151
2016,Algeria,DZA,10,7.344359875,16.11104012,2.705081222
2017,Algeria,DZA,10,6.505380154,17.55604935,2.673268862
2018,Algeria,DZA,10,5.866350174,13.77495003,2.336999914
2019,Algeria,DZA,10,6.100359917,14.46348,2.415646136
2020,Algeria,DZA,10,5.685693264,16.54919052,2.487589478
2016,American Samoa,ASM,0,0,0,0
2017,American Samoa,ASM,0,0,0,0
2018,American Samoa,ASM,0,0,0,0
2019,American Samoa,ASM,0,0,0,0
2020,American Samoa,ASM,0,0,0,0
