Year,Country_Name,Country_Code,Compulsory_education_duration_year,Government_expenditure_on_education_on_gdp,Government_expenditure_on_education_total_of_goverment_expenditure,Weighted_education
2016,Afghanistan,AFG,9,3.5119800567627,13.0909996032715,1.88598972811604
2017,Afghanistan,AFG,9,3.37331008911133,12.0332002639771,1.79785111531993
2018,Afghanistan,AFG,9,3.19979000091553,11.6960601806641,1.75061864479174
2019,Afghanistan,AFG,9,3.21377992630005,11.3437700271606,1.73017102196122
2020,Afghanistan,AFG,9,3.1143798828125,10.2538604736328,1.64579225144853
2016,Africa Eastern and Southern,AFE,7,4.88108491897583,17.1988105773926,2.23355281830444
2017,Africa Eastern and Southern,AFE,7,5.02312994003296,16.7732000350952,2.22737193325547
2018,Africa Eastern and Southern,AFE,7,4.95163488388062,17.01243019104,2.23208150394183
2019,Africa Eastern and Southern,AFE,7,4.71929979324341,15.3222951889038,2.08966090445078
2020,Africa Eastern and Southern,AFE,7,4.66537141799927,14.6967900594075,2.04169693316623
2016,Africa Western and Central,AFW,9,2.83455002307891,12.8473448753357,1.77014942611375
2017,Africa Western and Central,AFW,9,3.43119990825654,16.2105941772461,2.07343689771537
2018,Africa Western and Central,AFW,9,3.06633508205414,16.3399696350098,2.02770312639355
2019,Africa Western and Central,AFW,9,3.03285002708435,14.1593904495239,1.88336517152088
2020,Africa Western and Central,AFW,9,3.09895002841949,14.3899097442627,1.90788330177013
2016,Albania,ALB,9,3.96209001541138,13.596960067749,1.98495102434741
2017,Albania,ALB,9,3.61172008514404,12.3908004760742,1.85599570302506
2018,Albania,ALB,9,3.95120334625244,13.4892997741699,1.97645808748686
2019,Albania,ALB,9,3.94576001167297,13.4354696273804,1.97221161905658
2020,Albania,ALB,9,3.9403166770935,13.3816394805908,1.96796515062631
2016,Algeria,DZA,10,7.34435987472534,16.1110401153564,2.70508122172273
2017,Algeria,DZA,10,6.50538015365601,17.5560493469238,2.67326886151011
2018,Algeria,DZA,10,5.8663501739502,13.7749500274658,2.33699991376007
2019,Algeria,DZA,10,6.10035991668701,14.4634799957275,2.41564613633232
2020,Algeria,DZA,10,5.68569326400756,16.5491905212402,2.48758947781916
2016,Andorra,AND,10,3.23707008361816,9.99098014831543,1.7059718596551
2017,Andorra,AND,10,3.21708989143372,9.39243984222412,1.66475611882761
2018,Andorra,AND,10,3.2467200756073,13.4619197845459,1.92926138805205
2019,Andorra,AND,10,3.15060997009277,10.8952398300171,1.75097491507608
2020,Andorra,AND,10,3.12178993225097,8.99186992645264,1.62504654603744
2016,Angola,AGO,6,2.75494003295898,6.55097007751465,1.17943375512545
2017,Angola,AGO,6,2.46688008308411,6.76378011703491,1.15040093255775
2018,Angola,AGO,6,2.04469990730286,5.41023015975952,1.00139588334794
2019,Angola,AGO,6,1.82117998600006,6.04536008834839,1.00891012693147
2020,Angola,AGO,6,1.50992663701375,6.46722984313965,0.989807487870725
2016,Antigua and Barbuda,ATG,11,2.43079996109009,6.76265001296997,1.43910614843131
2017,Antigua and Barbuda,ATG,11,2.44847989082336,7.39179992675781,1.48193798425905
2018,Antigua and Barbuda,ATG,11,2.64407992362976,7.23061990737915,1.50058604749489
2019,Antigua and Barbuda,ATG,11,2.82214999198914,8.54749011993408,1.61111596250295
2020,Antigua and Barbuda,ATG,11,3.32161998748779,8.94178009033203,1.71024506694413
2016,Argentina,ARG,14,5.54548978805542,13.3555402755737,2.49799517123827
2017,Argentina,ARG,14,5.45431995391846,13.2639198303223,2.4786448369328
2018,Argentina,ARG,14,4.94551992416382,12.5233402252197,2.35600008868854
2019,Argentina,ARG,14,4.80237007141113,12.5300703048706,2.33524275664076
2020,Argentina,ARG,14,4.55466349919636,12.2549136479695,2.28099195177492
2016,Armenia,ARM,12,2.75812005996704,10.1971998214722,1.76591132665815
2017,Armenia,ARM,12,2.70759010314941,10.4031295776367,1.77159537819902
2018,Armenia,ARM,12,2.25587010383606,8.98857975006104,1.61431906873822
2019,Armenia,ARM,12,2.56185007095337,9.06116771697999,1.66424676145216
2020,Armenia,ARM,12,2.70476007461548,8.68249034881592,1.66119385387925
2016,Aruba,ABW,13,5.4913501739502,21.3665504455566,2.94321942210373
2017,Aruba,ABW,13,5.4913501739502,21.3665504455566,2.94321942210373
2018,Aruba,ABW,13,5.4913501739502,21.3665504455566,2.94321942210373
2019,Aruba,ABW,13,5.4913501739502,21.3665504455566,2.94321942210373
2020,Aruba,ABW,13,5.4913501739502,21.3665504455566,2.94321942210373
2016,Australia,AUS,10,5.276780128479,13.804349899292,2.25161726519653
2017,Australia,AUS,10,5.12790012359619,13.6029195785522,2.21670627757176
2018,Australia,AUS,10,5.10789012908936,13.4804601669312,2.20591704886083
2019,Australia,AUS,10,5.02344512939454,13.3185153007508,2.18306694069298
2020,Australia,AUS,10,4.93900012969972,13.1565704345704,2.16021683252513
2016,Austria,AUT,10,5.4796199798584,10.9538497924805,2.09943649622266
2017,Austria,AUT,13,5.3718900680542,10.9303102493286,2.25845741114429
2018,Austria,AUT,13,5.22535991668701,10.7277002334595,2.22381881810894
2019,Austria,AUT,13,5.09822988510131,10.614625453949,2.19777468493444
2020,Austria,AUT,13,4.97109985351562,10.5015506744384,2.17173055175993
2016,Azerbaijan,AZE,10,2.90340995788574,8.20689964294434,1.54254924429854
2017,Azerbaijan,AZE,10,2.47381997108459,6.95039987564087,1.39865088776111
2018,Azerbaijan,AZE,10,2.45543003082275,7.41052007675171,1.42533972593291
2019,Azerbaijan,AZE,10,2.68108010292053,8.07215023040771,1.50102921242681
2020,Azerbaijan,AZE,10,2.60697015126546,10.5025300979614,1.64540927216205
2016,"Bahamas, The",BHS,12,2.32517004013062,11.886079788208,1.80978328930657
2017,"Bahamas, The",BHS,12,2.41849994659424,10.5762195587158,1.73987118326279
2018,"Bahamas, The",BHS,12,2.30952000617981,11.4196796417236,1.7776548048493
2019,"Bahamas, The",BHS,12,2.39893007278442,11.2660703659058,1.78106967968826
2020,"Bahamas, The",BHS,12,2.51087999343872,11.2443103790283,1.79624842375151
2016,Bahrain,BHR,9,2.32452011108398,7.22384977340698,1.33520840459634
2017,Bahrain,BHR,9,2.32452011108398,7.22384977340698,1.33520840459634
2018,Bahrain,BHR,9,2.32452011108398,7.22384977340698,1.33520840459634
2019,Bahrain,BHR,9,2.32452011108398,7.22384977340698,1.33520840459634
2020,Bahrain,BHR,9,2.32452011108398,7.22384977340698,1.33520840459634
2016,Bangladesh,BGD,5,1.53553998470306,11.4192800521851,1.25130827901632
2017,Bangladesh,BGD,5,1.46580000718434,16.0549793243408,1.53729837558817
2018,Bangladesh,BGD,5,1.39606002966562,11.6814804077148,1.24742369621553
2019,Bangladesh,BGD,5,1.32632005214691,9.27375030517578,1.08320026726076
2020,Bangladesh,BGD,5,1.25658007462819,11.8447504043579,1.23721551970967
2016,Barbados,BRB,11,4.70732021331787,13.3624496459961,2.19790929527422
2017,Barbados,BRB,11,4.36638021469116,12.879150390625,2.11655467015137
2018,Barbados,BRB,11,5.42886018753052,16.358570098877,2.496214920765
2019,Barbados,BRB,11,3.20398998260498,10.7784900665283,1.81023658156217
2020,Barbados,BRB,11,4.29515981674194,16.1424694061279,2.3146035878923
2016,Belarus,BLR,9,4.94654989242554,12.1587800979614,2.03873233159367
2017,Belarus,BLR,9,4.79499006271362,12.2816896438599,2.02415639491352
2018,Belarus,BLR,9,5.38111019134521,13.2640399932861,2.17369914142411
2019,Belarus,BLR,9,4.97947978973389,13.2321500778198,2.11221569538516
2020,Belarus,BLR,9,4.95244979858398,12.8966102600098,2.08676741701368
2016,Belgium,BEL,12,6.46173000335693,12.1649503707886,2.43985814178607
2017,Belgium,BEL,12,6.42534017562866,12.3507099151611,2.44634579177831
2018,Belgium,BEL,12,6.37663984298706,12.2238397598267,2.43102819164166
2019,Belgium,BEL,12,6.33409476280212,12.2532844543457,2.42661321656946
2020,Belgium,BEL,12,6.29154968261718,12.2827291488647,2.42219824149726
2016,Belize,BLZ,8,7.29365015029907,20.5020198822021,2.86059853021338
2017,Belize,BLZ,8,7.45028018951416,21.6585102081299,2.95770369460624
