Year,Country_Name,Country_Code,Current_GDP,GDP_growth_annual,GDP_per_capita,Land_area,Weighted_gdp
2016,Afghanistan,AFG,18116562465,2.260314201,512.0127781,652860,10.87730982
2017,Afghanistan,AFG,18753469630,2.647003202,516.6798622,652860,12.43218218
2018,Afghanistan,AFG,18053228579,1.189228128,485.6684187,652860,6.551184265
2019,Afghanistan,AFG,18799450743,3.911603419,494.1793499,652860,17.45501227
2020,Afghanistan,AFG,20116137326,-2.351100673,516.7478708,652860,-7.558569529
2016,Africa Eastern and Southern,AFE,8.73355E+11,2.019390628,1431.778723,14807070.34,34.12943841
2017,Africa Eastern and Southern,AFE,9.85356E+11,2.542297932,1573.063386,14807044.03,36.57261343
2018,Africa Eastern and Southern,AFE,1.01285E+12,2.475271736,1574.978648,14807043.23,36.338941
2019,Africa Eastern and Southern,AFE,1.00991E+12,2.077897855,1530.059177,14807043.23,34.6749668
2020,Africa Eastern and Southern,AFE,9.20792E+11,-2.939185581,1359.618224,14807043.23,14.23501794
2016,Africa Western and Central,AFW,6.90543E+11,0.127594843,1673.835527,9045780,17.87023786
2017,Africa Western and Central,AFW,6.83742E+11,2.318041529,1613.473553,9045780,26.52869123
2018,Africa Western and Central,AFW,7.41692E+11,2.952230313,1704.139603,9045780,29.27516791
2019,Africa Western and Central,AFW,7.94572E+11,3.190336469,1777.918672,9045780,30.40478938
2020,Africa Western and Central,AFW,7.84588E+11,-0.884980919,1710.073363,9045780,13.98470331
2016,Albania,ALB,11861199831,3.314980684,4124.05539,27400,19.8449262
2017,Albania,ALB,13019689337,3.8022274,4531.019374,27400,22.43954989
2018,Albania,ALB,15156432310,4.019359686,5287.663694,27400,24.50845418
2019,Albania,ALB,15400242875,2.113419982,5395.659532,27400,17.05595505
2020,Albania,ALB,14887629268,-3.955397927,5246.292306,27400,-7.456383278
2016,Algeria,DZA,1.60034E+11,3.2,3946.452447,2381741,22.89629945
2017,Algeria,DZA,1.70097E+11,1.3,4109.698217,2381741,15.56624502
2018,Algeria,DZA,1.74911E+11,1.1,4142.018558,2381741,14.82291254
2019,Algeria,DZA,1.71767E+11,1,3989.668276,2381741,14.17811865
2020,Algeria,DZA,1.45009E+11,-5.1,3306.858208,2381741,-11.33347754
2016,American Samoa,ASM,671000000,-1.679389313,12038.2497,200,12.34272459
2017,American Samoa,ASM,612000000,-6.98757764,11003.82976,200,-10.52781129
2018,American Samoa,ASM,639000000,2.671118531,11521.60978,200,28.92676434
2019,American Samoa,ASM,648000000,-0.487804878,11715.36014,200,16.59783058
2020,American Samoa,ASM,709000000,3.921568627,12844.90099,200,36.02370688
2016,Andorra,AND,2896679212,3.70967807,37475.63506,470,74.17494988
2017,Andorra,AND,3000180750,0.34607189,38964.90448,470,63.07848574
2018,Andorra,AND,3218316013,1.58876549,41791.96984,470,72.52537803
2019,Andorra,AND,3155065488,2.015547638,40897.33087,470,72.81602334
2020,Andorra,AND,3310685365,-11.95269325,43432.71274,470,20.95730689
2016,Angola,AGO,1.01124E+11,-2.580049644,3506.073128,1246700,-2.735190212
2017,Angola,AGO,1.22124E+11,-0.147212941,4095.810057,1246700,7.95382171
2018,Angola,AGO,1.01353E+11,-2.003629727,3289.643995,1246700,-0.771903714
2019,Angola,AGO,89417190341,-0.624644318,2809.626088,1246700,3.970432984
2020,Angola,AGO,58375976293,-5.39998739,1776.166868,1246700,-16.80258158
2016,Antigua and Barbuda,ATG,1436585185,5.496459204,15198.74297,440,46.05112109
2017,Antigua and Barbuda,ATG,1467977778,3.14432324,15383.5764,440,36.93524522
2018,Antigua and Barbuda,ATG,1605944444,6.883640817,16679.59166,440,53.94455146
2019,Antigua and Barbuda,ATG,1687533333,4.862236166,17376.64968,440,46.9626228
2020,Antigua and Barbuda,ATG,1370281481,-20.19237057,13992.74448,440,-58.61363567
2016,Arab World,ARB,2.41198E+12,3.200033666,5969.616593,13081769.2,45.13827831
2017,Arab World,ARB,2.46644E+12,0.929186997,5987.341957,13081768.95,36.14514766
2018,Arab World,ARB,2.73078E+12,2.397753222,6504.148493,13081763.72,43.13948816
2019,Arab World,ARB,2.77647E+12,2.050387512,6489.043216,13081763.72,41.77828576
2020,Arab World,ARB,2.44758E+12,-5.281844288,5612.68657,13081763.72,10.68631686
2016,Argentina,ARG,5.57531E+11,-2.080327844,12790.24247,2736690,16.77684783
2017,Argentina,ARG,6.43629E+11,2.818502978,14613.04182,2736690,39.35638546
2018,Argentina,ARG,5.2482E+11,-2.617396463,11795.15939,2736690,13.0157814
2019,Argentina,ARG,4.51932E+11,-2.025934237,10056.63794,2736690,12.54593179
2020,Argentina,ARG,3.89288E+11,-9.895268964,8579.017773,2736690,-21.342344
2016,Armenia,ARM,10546135160,0.2,3591.828052,28470,6.542514995
2017,Armenia,ARM,11527458566,7.500000002,3914.527854,28470,36.25454069
2018,Armenia,ARM,12457941907,5.2,4220.540321,28470,27.54008858
2019,Armenia,ARM,13619291361,7.599999999,4604.646324,28470,37.74953943
2020,Armenia,ARM,12641209802,-7.4,4266.018074,28470,-22.7877008
2016,Aruba,ABW,2983636872,2.099999586,28452.17061,180,53.449752
2017,Aruba,ABW,3092430168,1.999999104,29350.80502,180,54.47261103
2018,Aruba,ABW,3202188607,1.899998623,30253.27936,180,55.50155063
2019,Aruba,ABW,3311464475,1.799998142,31153.83373,180,56.52744994
2020,Aruba,ABW,3420740342,1.699997661,32054.3881,180,57.55334925
2016,Australia,AUS,1.20669E+12,2.741643069,49881.76371,7692020,103.1562428
2017,Australia,AUS,1.32688E+12,2.295926947,53934.25018,7692020,107.9266215
2018,Australia,AUS,1.42853E+12,2.87097248,57180.7794,7692020,115.4828537
2019,Australia,AUS,1.39195E+12,2.113149425,54875.28596,7692020,108.7596863
2020,Australia,AUS,1.32784E+12,-0.003836559,51692.84275,7692020,95.18001313
