Country_Name,Country_Code,Expected_Years_of_School,Fraction_of_Children_Under_5_Not_Stunted,Harmonized_Test_Scores, Human_Capital_Index,Human_Capital_Index_Lower_Bound,Human_Capital_Index_Upper_Bound,Learning_Adjusted_Years_of_School,Probability_of_Survival_to_Age_5,Survival_Rate_from_Age_15_60,Continent,Weighted_HCI
Afghanistan,AFG,8.90189075469971,0.618072211742401,354.7587890625,0.400284141302109,0.38714861869812,0.412617266178131,5.05283832550049,0.937723577022552,0.78774082660675,Asia,29.7981995833436
Albania,ALB,12.8893814086914,0.886766493320465,434.127593994141,0.634250938892365,0.624725520610809,0.643478035926819,8.95301818847656,0.991176664829254,0.929365992546082,Europe,38.4138291843987
Algeria,DZA,11.8480348587036,0.883103966712952,374.089080810547,0.534556448459625,0.527311027050018,0.541510224342346,7.091552734375,0.976517915725708,0.909282267093658,Africa,35.9430354639277
American Samoa,ASM,11.282570021493,0.761522310120718,397.065381731305,0.52886172064713,0.510785475373268,0.543864107557705,7.26264190673828,0.97491620693888,0.845530092716217,Oceania,34.4644787431618
Andorra,AND,13.2066269899025,0.922936022281646,491.600016276041,0.710768549870222,0.701848280735505,0.71955507229536,10.4170187069819,0.995262887233342,0.910403450330098,Europe,40.0822147874709
Angola,AGO,8.12006568908691,0.624288558959961,325.965484619141,0.362405389547348,0.32986369729042,0.385374516248703,4.23497772216797,0.922835469245911,0.729358732700348,Africa,28.0907804370709
Antigua and Barbuda,ATG,12.9675598144531,0.83575114276674,406.997436523438,0.595703899860382,0.584080040454865,0.607414603233337,8.44442176818848,0.993558526039124,0.89720755815506,North America,37.1928238989398
Argentina,ARG,12.8795232772827,0.921000003814697,408.172637939453,0.602144718170166,0.59166693687439,0.611715614795685,8.41131019592285,0.990055024623871,0.888269186019897,South America,37.680871710414
Armenia,ARM,11.2798700332642,0.906010508537292,442.969451904297,0.578998804092407,0.569216191768646,0.588532090187073,7.99462080001831,0.987619340419769,0.885818600654602,Asia,36.8812036957776
Aruba,ABW,11.9898689671566,0.83575114276674,414.021848979749,0.566023622688494,0.552885883732846,0.577624677043212,7.98282279466327,0.981437733298854,0.862781662690012,North America,36.0992129886973
Australia,AUS,13.6014432907104,0.761522310120718,515.685363769531,0.770239531993866,0.761949002742767,0.777968049049377,11.2225046157837,0.996311366558075,0.94614177942276,Oceania,40.2697215657142
Austria,AUT,13.4275989532471,0.922936022281646,507.639373779297,0.746739745140076,0.737196564674377,0.756520211696625,10.9062051773071,0.996477246284485,0.937184393405914,Europe,40.9361576623598
Azerbaijan,AZE,12.4437866210938,0.822275400161743,415.946197509766,0.577767550945282,0.561639130115509,0.591151416301727,8.28151321411133,0.978476583957672,0.88195812702179,Asia,36.5242319817789
"Bahamas, The",BHS,11.9898689671566,0.83575114276674,414.021848979749,0.566023622688494,0.552885883732846,0.577624677043212,7.98282279466327,0.981437733298854,0.862781662690012,North America,36.0992129886973
