COUNTRIES,WEIGHTED_WORLD_DEATH,WEIGHTED_GOUVERNANCE,WEIGHTED_EDUCATION,WEIGHTED_GDP,WEIGHTED_HCI
Luxembourg,0.7214849792993144,34.2831782000000000000000,1.803438325800000000000,186.2550323387074000,39.7190969169754000
Switzerland,0.5953996420575552,35.2085478000000000000000,2.360923524800000000000,139.8310314509754000,41.1421700663572000
Ireland,0.6655052653016006,28.4923579200000000000000,1.930207469600000000000,144.7428765269208000,41.8107172292184000
United States,0.3649034628989162,22.6844512000000000000000,0.705882353000000000000,140.0298722756124000,39.2985716116199000
Norway,0.7660435586981274,35.6786076000000000000000,2.723304927000000000000,122.2079115410660000,41.4180854175005000
Iceland,0.8064654169355238,30.5392304000000000000000,2.817908799600000000000,115.8468403647404200,40.9702762590061000
Australia,0.638319196103971,31.2048259600000000000000,2.203504873200000000000,106.1010834924258800,40.2697215657142000
Denmark,0.5869277922219068,33.0030496400000000000000,2.715961720000000000000,100.2555955986909800,41.0672283673102000
Singapore,0.8043654785698854,28.7360866800000000000000,0.750399855800000000000,104.4469068956186000,42.2297426918965000
Sweden,0.7463490705418838,33.5787410000000000000000,2.684036006600000000000,89.5131161794776200,41.8784569090765000
Canada,0.4907754944102954,32.4476835200000000000000,0.588235294000000000000,89.2731327417085600,41.2564087206778000
Netherlands,0.589859183053683,33.3709706000000000000000,2.370207951800000000000,85.4807617777688000,41.7696464641831000
Finland,0.7591722896550704,34.7943369200000000000000,2.259320210200000000000,80.3975363422066200,41.8069259575724000
New Zealand,0.532131558719401,36.7472208000000000000000,2.514732039800000000000,78.5552861379244800,40.3614957340177000
Germany,0.6185219074594148,29.5489321600000000000000,2.220233315400000000000,78.9000112038958800,40.9847504549120000
Austria,0.6423357956022288,28.7641491600000000000000,2.190243592400000000000,78.6877838277143000,40.9361576623598000
Belgium,0.6067704740074786,24.4301724400000000000000,2.433208716800000000000,72.9453651589815600,41.1721384817890000
United Kingdom,0.5626815141266048,27.3344228000000000000000,2.283490938600000000000,68.7583460382587400,41.6084038443611000
Japan,0.8174278493517148,26.3420268800000000000000,0.529411765000000000000,68.2843135100821800,40.9686949096597000
Qatar,0.3726024819376726,3.3902421200000000000000,1.528495308400000000000,93.4322406551956600,37.8205464024590000
Israel,0.6680138212990188,13.6026031600000000000000,2.792390942600000000000,77.9644112432996600,39.7445545440785000
France,0.6000522894798632,21.4886777600000000000000,2.046336842000000000000,65.5997612825507800,41.2267323535256000
Malta,0.3582326834379748,22.1897487800000000000000,2.075389831400000000000,57.9551005188796600,40.2988100355324000
"Korea, Rep.",0.7194541410460748,17.8286752400000000000000,1.187255568000000000000,60.3306115908750600,40.8472693396215000
Cyprus,0.7069007085863674,17.8879955200000000000000,2.337922490000000000000,57.9546787358138400,40.1142679789454000
United Arab Emirates,0.3206348254001536,8.1178317600000000000000,1.821416177000000000000,67.4515854151877200,38.5319252489791000
Estonia,0.735206045171244,25.4788395200000000000000,2.147961008600000000000,45.7249485328787800,41.3523703320492000
Slovenia,0.762863619103977,19.2686443400000000000000,1.982187206000000000000,48.0972427645757000,41.4527538582692000
Spain,0.7047002144776838,17.5636966800000000000000,1.850706053800000000000,46.7579840786327360,40.5854425444512000
Italy,0.7035650671077122,13.3438086200000000000000,1.898387272600000000000,50.6713088025611600,40.6220028543457000
Czech Republic,0.6797387669121086,20.5569286600000000000000,1.768505796600000000000,41.4779004011496400,41.0016893234953000
Portugal,0.6560546325531322,22.2149956200000000000000,2.088952816800000000000,37.4741370034415320,41.3650280254398000
Lithuania,0.5564874360517918,20.1303501000000000000000,1.956794529600000000000,41.1038088095618600,39.9407178653446000
China,0.225927721480119,-10.7908634200000000000000,1.789413076000000000000,67.7609499071482800,38.9630528956968000
Brunei Darussalam,-0.03923878891191608,8.7272626000000000000000,1.915779188000000000000,49.3412822677989600,37.5399203793292000
Poland,0.5104643151939354,14.6224869600000000000000,1.978624346200000000000,36.7195965026245400,40.9126551928551000
Latvia,0.5149177078213988,17.4854082800000000000000,1.984825130800000000000,33.3969865815948200,39.9238471397599000
"Bahamas, The",-0.3149285959065954,13.3496057000000000000000,1.780925476200000000000,42.0870099638415400,36.0992129886973000
Slovak Republic,0.4255926774515104,15.6475059400000000000000,1.786995217000000000000,34.8649730974101400,39.1929506885957000
Guyana,-1.889625377105366,-3.4931735800000000000000,2.040369140400000000000,58.9820068189728800,34.2617155199729000
Chile,0.276082690273408,19.8173947400000000000000,2.878126715600000000000,25.8710806739887140,38.7064365182480000
Hungary,0.5365190460384656,10.8460964000000000000000,2.093035231200000000000,34.0128136687445880,39.5239354774039000
Uruguay,0.274299718887012,19.0873455000000000000000,2.479420478400000000000,26.5908393041014100,37.4369739569466000
Costa Rica,0.13435218551484868,14.1710381200000000000000,3.387589473400000000000,26.9769440422700400,37.9648886159080000
Croatia,0.492797503267480,10.2272646000000000000000,1.600847197000000000000,26.7644177051808280,40.1918342636634000
Romania,0.2857413827719942,6.7085849200000000000000,1.750824134600000000000,32.5577698825092380,37.3459934185973000
